"","X1","correlation","pvalue","Means","SD","CV"
"1","ADAMTS12",-0.536047666,0.000436124,277.8670623,278.0498454,1.000657808
"2","POU2F3",-0.533161858,0.000474608,133.2131222,158.6428973,1.190895421
"3","FAIM2",-0.511659359,0.00087082,91.08040104,149.8593791,1.645352649
"4","RFFL",-0.507092123,0.000985638,107.0594052,107.1982926,1.001297292
"5","C9orf172",-0.49833651,0.001243861,33.72984299,36.54695644,1.08351991
"6","MMP13",-0.476206705,0.002180782,1363.897428,2244.653542,1.645764187
"7","PDE10A",-0.474406204,0.002279028,274.2570883,378.6139923,1.380507591
"8","GRIN1",-0.462597543,0.003025181,93.50780134,148.7228504,1.590486015
"9","PPP1R1A",-0.461308744,0.003118289,145.0056212,237.4151076,1.637282098
"10","WNT7B",-0.45985734,0.003226134,248.819345,280.1281544,1.125829482
"11","FAM171A2",-0.455265752,0.003589048,58.59452137,88.95610101,1.518164138
"12","S100A7A",-0.450545326,0.003998749,369.1666296,1262.575896,3.420070491
"13","SCUBE3",-0.446381194,0.004393356,517.0379053,794.3565745,1.536360422
"14","LRRC26",-0.444792872,0.004552547,208.6944253,479.1147475,2.295771661
"15","LOC100508781",-0.444374059,0.004595348,37.94196028,45.42884617,1.197324699
"16","NKD1",-0.443296338,0.004707096,90.42985217,103.8345064,1.148232624
"17","KMO",-0.441368802,0.004912847,497.232108,653.9332863,1.315146942
"18","PPM1L",-0.439515001,0.005118037,92.01341221,118.888976,1.292083112
"19","GYG2",-0.439216978,0.005151707,218.8133001,227.2076889,1.038363248
"20","PRRT4",-0.439119083,0.005162808,21.88216252,41.19292701,1.882488852
"21","MNX1",-0.438635312,0.005217975,44.42966118,52.79361669,1.188251616
"22","PCDHGB1",-0.433389744,0.005849701,67.46626496,105.602426,1.565262669
"23","SSH2",-0.432845796,0.00591884,762.6034656,766.6706411,1.005333277
"24","NPTX2",-0.432313451,0.005987187,62.31720847,98.65640326,1.583132584
"25","S100A7",-0.431843561,0.00604808,1222.794175,3132.800997,2.562001898
"26","LRTM2",-0.430164985,0.006269995,26.34678733,77.88523955,2.956156991
"27","STS",-0.428957722,0.006433911,995.7063994,2133.90431,2.143105951
"28","LOC728763",-0.428953393,0.006434505,48.4074507,87.09202145,1.79914497
"29","LRRC4",-0.427376846,0.006654132,83.91602678,122.0529422,1.454465218
"30","GUCY1A2",-0.423539776,0.007215838,540.96633,583.5027572,1.078630452
"31","PLCH1",-0.422463684,0.007380507,475.0226601,522.9177801,1.100827022
"32","SIGLEC15",-0.420709158,0.007655921,32.75494607,46.48084389,1.419048097
"33","ARSH",-0.420519982,0.007686138,31.8195818,69.13226593,2.172632763
"34","SYT12",-0.41991285,0.007783805,835.0609926,1346.859896,1.61288805
"35","ERBB2",-0.41857562,0.008002686,37299.56772,74157.39135,1.988156857
"36","KALRN",-0.418469713,0.008020244,435.6136123,644.5081444,1.479540874
"37","EPGN",-0.412760038,0.009017118,34.51333052,57.2318271,1.658252804
"38","UNC5A",-0.412138978,0.009131685,137.2417995,248.010484,1.807106033
"39","SH2B2",-0.410527461,0.009434786,58.66028537,60.36230938,1.029014929
"40","LOC101929385",0.4093581,0.009660072,37.76041475,41.63602652,1.102636896
"41","PTGDS",0.409784231,0.009577448,249.5406895,385.0309322,1.542958517
"42","DOC2A",0.409813903,0.009571717,105.0481679,106.2806817,1.011732844
"43","LOC101929724",0.411210196,0.00930534,13.15700785,17.3110745,1.315730347
"44","FBXO2",0.413607922,0.008862696,69.32640986,71.74048418,1.034821857
"45","HSPB6",0.421436082,0.007540761,76.27828292,92.88811408,1.217753082
"46","KRT14",0.430315479,0.006249816,1546.917434,2735.669967,1.768465405
"47","FLJ35934",0.433435661,0.005843897,11.95711763,13.7351399,1.148699906
"48","LOC100506834",0.434703998,0.005685525,32.52026144,33.065044,1.016752096
"49","LOC102723354",0.436331035,0.005487805,19.34810628,22.70427083,1.173462172
"50","MIR143HG",0.438981322,0.005178466,28.06231997,36.69890612,1.30776451
"51","MIR145",0.447407959,0.004293041,11.98402248,21.77969301,1.817394205
"52","ACKR1",0.450175625,0.004032489,165.7757015,260.5035418,1.571421743
"53","MIR29C",0.461260658,0.003121811,47.22361892,52.90708143,1.120352117
"54","LOC101930481",0.470866644,0.002483551,11.39935079,19.03252689,1.669614984
